"Operation";"Channel";"Language";"Translation";"DateFormat";"TimeFormat";"DateTimeLocale";
LOAN_APPLICATION_COMPLETED_AND_APPROVED;SMS;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been successfully completed and approved.;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;XML;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been successfully completed and approved.;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;EMAIL;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;SMS;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;
LOAN_APPLICATION_COMPLETED_AND_APPROVED;XML;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete approve avec succes;;;;

LOAN_APPLICATION_COMPLETED_AND_REJECTED;EMAIL;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;SMS;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;XML;en;Your loan application {LOAN_PRODUCT} {AMOUNT} FCFA with id {LOAN_ID} created {CREATION_DATE_TIME} for {LOAN_PROVIDER_NAME} has been rejected.;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;EMAIL;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete rejete;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;SMS;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete rejete;;;;
LOAN_APPLICATION_COMPLETED_AND_REJECTED;XML;fr;Votre demande de pret{LOAN_PRODUCT} {AMOUNT} FCFA avec l'identifiant {LOAN_ID} initiee le {CREATION_DATE_TIME} pour {LOAN_PROVIDER_NAME} a ete rejete;;;;

LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;EMAIL;en;Final debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}.;;;;
LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;SMS;en;Final debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}.;;;;
LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;XML;en;Final debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}.;;;;
LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;EMAIL;fr;Le recouvrement final de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}.;;;;
LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;SMS;fr;Le recouvrement final de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}.;;;;
LOAN_FINAL_DEBT_COLLECTION_SUCCESSFUL;XML;fr;Le recouvrement final de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}.;;;;

LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;EMAIL;en;Partial debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}. Amount to be collected: {DEBT_AMOUNT}.;;;;
